user_id,spent_money,items_quantity,recommendation_percentage
1234567124567,6443.55,645,98%
12345676543456789098543,1739.1299999999999,87,94%
1234567810132,6443.55,645,98%
123456787654329,219.78,22,100%
12345678901234567890123456567890,6443.55,645,98%
1234567890192837465,1739.1299999999999,87,94%
1234567890qweccrtht,709.29,71,96%
12345678910123,24.950000000000003,5,100%
12345678910a,6443.55,645,98%
1234567898354127873,6443.55,645,98%
123456789874561232145678,29.97,3,100%
123456789_Kappa,219.78,22,100%
123456789diamond987654321,6443.55,645,98%
1234567io9872345678765432,39.92,8,62%
12345gh,259.74,26,100%
1234865654,39.92,8,62%
1234derpaa,219.78,22,100%
12398uf8jg21390,709.29,71,96%
12399017,1739.1299999999999,87,94%
123abccba,149.85,15,100%
123amazing123,1739.1299999999999,87,94%
123curssin123,6443.55,645,98%
123joshua321,6443.55,645,98%
123repulseMe,709.29,71,96%
1242163634531636,54.89,11,73%
12435674325tyughnb,1739.1299999999999,87,94%
12435gg,89.91,9,89%
124653tf,6443.55,645,98%
124681,0.0,131,85%
1249012512908890112890,709.29,71,96%
124c7937,0.0,329,91%
12524,6443.55,645,98%
12536475869trhgsdf,1739.1299999999999,87,94%
12549,1739.1299999999999,87,94%
12779,139.92999999999998,7,100%
128463821947,599.6999999999999,30,93%
12874175635ELITE,24.950000000000003,5,100%
128bitbit,219.78,22,100%
1294120970512,6443.55,645,98%
129874182,709.29,71,96%
12DeAgostoAs12HRSe26MIN,4.99,1,100%
12_gauge_org,0.0,12,75%
1300655506nigga,39.92,8,62%
13012,39.92,8,62%
1313Lcf,709.29,71,96%
13199708,29.97,3,100%
1321742413,4877.5599999999995,244,99%
132413244231,2258.87,113,99%
13272310,29.98,2,100%
13371337133713337,2399.6,40,88%
133742069174,1739.1299999999999,87,94%
1337666133766613376661337,4.99,1,100%
133774553644535355354,0.0,329,91%
1337Akraken,219.78,22,100%
1337_K_REW,6443.55,645,98%
1337_Speak,149.85,15,100%
1337hunter,79.96,4,100%
1337leetSloth,6443.55,645,98%
1337lolroflmao,1739.1299999999999,87,94%
1337mlg,6443.55,645,98%
1337putin,149.85,15,100%
1343534566,6443.55,645,98%
13457856281,219.78,22,100%
134679jc333,6443.55,645,98%
135781,1739.1299999999999,87,94%
1373648137417,709.29,71,96%
137731251236671466147,1739.1299999999999,87,94%
13971397,89.91,9,89%
1398199813,39.96,4,75%
13lazer,89.91,9,89%
13omadragon,6443.55,645,98%
13salva,4877.5599999999995,244,99%
1408129010,6443.55,645,98%
142331415,89.91,9,89%
142412412124142,0.0,223,96%
14372193,6443.55,645,98%
143865,1739.1299999999999,87,94%
1440454,39.92,8,62%
144289919655093823,1739.1299999999999,87,94%
1452221660414,219.78,22,100%
1454235887,0.0,131,85%
145578,1739.1299999999999,87,94%
1457184935981,709.29,71,96%
146847798098,6443.55,645,98%
14747,219.78,22,100%
147532984,6443.55,645,98%
150010792,709.29,71,96%
1513412123111331,219.78,22,100%
151995,1739.1299999999999,87,94%
1522188745,6443.55,645,98%
1540359,19.98,2,100%
154352,24.950000000000003,5,100%
154930493,1739.1299999999999,87,94%
15511551,6443.55,645,98%
155754572,4877.5599999999995,244,99%
15632897,1739.1299999999999,87,94%
157645,219.78,22,100%
15832789427,1739.1299999999999,87,94%
15934,709.29,71,96%
159zse159,29.97,3,100%
1607426135,6443.55,645,98%
1626466724893520,6443.55,645,98%
16362426247,1739.1299999999999,87,94%
16395,1739.1299999999999,87,94%
16538,709.29,71,96%
16748438,1739.1299999999999,87,94%
169420666,6443.55,645,98%
17-04-2000,6443.55,645,98%
17101710,219.78,22,100%
1711338513531,6443.55,645,98%
171516,4.99,1,100%
17291799,1739.1299999999999,87,94%
173902,6443.55,645,98%
174gamecuman700kngkakak,6443.55,645,98%
17731773,2258.87,113,99%
177652,6443.55,645,98%
17829463213,6443.55,645,98%
1800-Ricohut,19.96,4,100%
18023009,25662.88,1712,95%
180577,219.78,22,100%
18082001,219.78,22,100%
18228272828,89.91,9,89%
182748927838783778382,54.89,11,73%
182828282,709.29,71,96%
18283848,1739.1299999999999,87,94%
18481,6443.55,645,98%
1850172512752815,6443.55,645,98%
18504965711,6443.55,645,98%
1859082899,3.99,1,100%
1870380085,709.29,71,96%
1873410337,6443.55,645,98%
1875489156748,1739.1299999999999,87,94%
187625,24.950000000000003,5,100%
18855881,219.78,22,100%
1889999999999999,6443.55,645,98%
19-20-5-20-27-5-18,6443.55,645,98%
190120001826,0.0,53,83%
1920410,1739.1299999999999,87,94%
19210801,6443.55,645,98%
1922001,1739.1299999999999,87,94%
1930234,709.29,71,96%
19365,6443.55,645,98%
19372250,709.29,71,96%
1937648259137856lkjnoik,0.0,329,91%
1944086851,4877.5599999999995,244,99%
1947CARROTS,6443.55,645,98%
194847383,219.78,22,100%
1956aa1,1739.1299999999999,87,94%
195862,6443.55,645,98%
19702316748,6443.55,645,98%
19820182123,6443.55,645,98%
1994dbc,29.97,3,100%
1997-07-06_J077,6443.55,645,98%
19990923,3868.7099999999996,129,98%
199A,1739.1299999999999,87,94%
19te_Polska,1739.1299999999999,87,94%
1BUCK80,559.7199999999999,28,100%
1GN33L,6443.55,645,98%
1MLG2U,149.85,15,100%
1NFR33,709.29,71,96%
1R1M1,709.29,71,96%
1UK33Y,219.78,22,100%
1_Taipan,6443.55,645,98%
1a1u14,6443.55,645,98%
1dog636,6443.55,645,98%
1epicninja,709.29,71,96%
1iam1iam1iam,1739.1299999999999,87,94%
1jamesn4,39.92,8,62%
1qaz2wwx010,2258.87,113,99%
1silentsniper1,4.99,1,100%
1snap,219.78,22,100%
1stBLUE-COW,1739.1299999999999,87,94%
1stpionpaul,6443.55,645,98%
1sttperson,6443.55,645,98%
1v1meguy,1739.1299999999999,87,94%
1v1meinclubpenguinscrub,6443.55,645,98%
1v1mim8,1739.1299999999999,87,94%
2000jtc,6443.55,645,98%
200220006,1739.1299999999999,87,94%
20041213,6443.55,645,98%
200719917302,1739.1299999999999,87,94%
200px-spy-taunt-laugh,6443.55,645,98%
2011368123,709.29,71,96%
20115011,6443.55,645,98%
205723552,6443.55,645,98%
2080308,709.29,71,96%
2092000666,6443.55,645,98%
210519992016,709.29,71,96%
21072013,4877.5599999999995,244,99%
211011374,4877.5599999999995,244,99%
21129393,6443.55,645,98%
2121312,6443.55,645,98%
2125125126,1739.1299999999999,87,94%
212blair212,259.74,26,100%
213123123132,6443.55,645,98%
21321112399,1739.1299999999999,87,94%
2139093311,6443.55,645,98%
215251,6443.55,645,98%
216712138,6443.55,645,98%
218939137821738213127983,39.92,8,62%
219121912191,1739.1299999999999,87,94%
21lord21drag,79.96,4,75%
22109203,1739.1299999999999,87,94%
222081994,6443.55,645,98%
2222224444555985,1739.1299999999999,87,94%
2233dog15,1739.1299999999999,87,94%
22491987,439.89000000000004,11,100%
22502250,6443.55,645,98%
225544,1739.1299999999999,87,94%
226rep,644.57,43,93%
2271531450,6443.55,645,98%
2293371488,6443.55,645,98%
23012003,6443.55,645,98%
231091,1739.1299999999999,87,94%
231321455,2997.0,300,98%
23142433253545,1739.1299999999999,87,94%
23184798,6443.55,645,98%
2323534545,709.29,71,96%
2342526,39.92,8,62%
23434454365463446754546576e45646,1739.1299999999999,87,94%
2345XXXXX,709.29,71,96%
234671,6443.55,645,98%
235269,6443.55,645,98%
235324234732,219.78,22,100%
2364786499,6443.55,645,98%
23745736,709.29,71,96%
2378695,25662.88,1712,95%
2390746539217,1739.1299999999999,87,94%
23974656456,6443.55,645,98%
2398,6443.55,645,98%
23Batman05,89.91,9,89%
23jesus23,1739.1299999999999,87,94%
24045681579016271,4877.5599999999995,244,99%
2435689,219.78,22,100%
2435764824567835,1739.1299999999999,87,94%
24453,219.78,22,100%
2448531,6443.55,645,98%
24532453,1739.1299999999999,87,94%
24596,1739.1299999999999,87,94%
24681256447,6443.55,645,98%
246823,1739.1299999999999,87,94%
247211,6443.55,645,98%
2479742,709.29,71,96%
248392584,6443.55,645,98%
248482,6443.55,645,98%
24862345243,6443.55,645,98%
24902,6443.55,645,98%
249758,6443.55,645,98%
24BallerJK,6443.55,645,98%
24CmRuler,1739.1299999999999,87,94%
25050,1739.1299999999999,87,94%
25061841,1739.1299999999999,87,94%
25230405,6443.55,645,98%
25231341243,6443.55,645,98%
2539428377924,6443.55,645,98%
256565,709.29,71,96%
2571,219.78,22,100%
259987556434546,9.98,2,100%
25_Years_Since_Freddie,6443.55,645,98%
26070,1739.1299999999999,87,94%
2608739,259.74,26,100%
2647891,6443.55,645,98%
2688789326887893,6443.55,645,98%
269485,219.78,22,100%
27073108,709.29,71,96%
27601MCM,6443.55,645,98%
27649735,0.0,1,100%
2768820078,6443.55,645,98%
279519365,6443.55,645,98%
28019769,6443.55,645,98%
2826,9.99,1,100%
2891723967123,6443.55,645,98%
28yelkco,6443.55,645,98%
29017637452801,6443.55,645,98%
291129112911291129112911,4.99,1,100%
29123,6443.55,645,98%
2987654235,119.92,8,88%
29998000,219.78,22,100%
2Chill,1739.1299999999999,87,94%
2Degrees,1739.1299999999999,87,94%
2JZEEEEBABY,6443.55,645,98%
2Lethal,219.78,22,100%
2Ryo2Know,6443.55,645,98%
2Ta4,24.950000000000003,5,100%
2ZESTY4ME,6443.55,645,98%
2amigosupremos753,0.0,329,91%
2cq,89.91,9,89%
2d4nk4m3,89.91,9,89%
2edgy4youboi,709.29,71,96%
2ez2xl,6443.55,645,98%
2ez4medick,6443.55,645,98%
2fast4u271,6443.55,645,98%
2g00d4u,709.29,71,96%
2greasy,59.96,4,100%
2ik4tf,6443.55,645,98%
2kewl4you,4877.5599999999995,244,99%
2matoe,6443.55,645,98%
2muchred,1739.1299999999999,87,94%
2nerdssemvida,6443.55,645,98%
2pacisaliveincuba,89.91,9,89%
2ptwisted,6443.55,645,98%
2red12,29.97,3,100%
2sBs,89.91,9,89%
2sd31,2997.0,300,98%
2seggy4um8havalook,99.9,10,100%
2she,9.99,1,100%
2sneaky5u,149.85,15,100%
2spookis,709.29,71,96%
2spooky,149.85,15,100%
2unimaginative4u,644.57,43,93%
2v1meyoucheekyscrub,6443.55,645,98%
2xDelorean,6443.55,645,98%
30035115,89.91,9,89%
300799,25662.88,1712,95%
30102002,6443.55,645,98%
3021Daniel,1739.1299999999999,87,94%
3038070,824.45,55,73%
3046123,709.29,71,96%
305010,1739.1299999999999,87,94%
30699,6443.55,645,98%
313134,89.91,9,89%
314155156915923,149.85,15,100%
31456576727471577757175717,1739.1299999999999,87,94%
31575,6443.55,645,98%
317733235,709.29,71,96%
317984739321,1739.1299999999999,87,94%
318941651,6443.55,645,98%
3197,709.29,71,96%
320RustPro,25662.88,1712,95%
3214213216,6443.55,645,98%
321541,2.99,1,100%
3265899423,6443.55,645,98%
326759263846544,709.29,71,96%
329838102,6443.55,645,98%
32bitmaximus,219.78,22,100%
33275,6443.55,645,98%
333333259,709.29,71,96%
33334scat,6443.55,645,98%
333666333111,6443.55,645,98%
333hab,1739.1299999999999,87,94%
33442,0.0,131,85%
334756875,6443.55,645,98%
34234252sd,0.0,1,100%
3423523425433425,1739.1299999999999,87,94%
343221221,13.98,2,100%
34324132,1739.1299999999999,87,94%
343574890,6443.55,645,98%
34383536,854.4300000000001,57,96%
343rox,259.74,26,100%
3456457568,1739.1299999999999,87,94%
34565754,1739.1299999999999,87,94%
3456669133723,6443.55,645,98%
345675,219.78,22,100%
34568535890075433578,1549.3799999999999,62,94%
34573671264yi,89.91,9,89%
345827357205098,6443.55,645,98%
3496148694969,6443.55,645,98%
350176,6443.55,645,98%
350241,29.97,3,100%
352039981386723,1739.1299999999999,87,94%
3523436346,6443.55,645,98%
35353534,709.29,71,96%
35475,29.97,3,100%
3548548564856498484894,1739.1299999999999,87,94%
3565Jason,4877.5599999999995,244,99%
360NoScopeMLGBLAZEGirlGamer69,6443.55,645,98%
360j1mmy,89.91,9,89%
3635,89.91,9,89%
36864,139.92999999999998,7,100%
369231461278416,709.29,71,96%
36_T,9.99,1,100%
373848099,709.29,71,96%
37755753,9.99,1,100%
378366354,6443.55,645,98%
37891266723,1739.1299999999999,87,94%
380012,39.92,8,62%
381644,29.97,3,100%
38174962156174513,6443.55,645,98%
38189307,6443.55,645,98%
387561,709.29,71,96%
38927497,149.85,15,100%
38y685ie4e89r78,6443.55,645,98%
391204566,1739.1299999999999,87,94%
3dster,6443.55,645,98%
3eBpA,219.78,22,100%
3lAckCAt,6443.55,645,98%
3mike,9.99,1,100%
3mperi0,6443.55,645,98%
3nv3y,6443.55,645,98%
3ring,39.92,8,62%
3teGZ_Rorschach,1739.1299999999999,87,94%
3th3,6443.55,645,98%
3vild33d,89.91,9,89%
3xU,6443.55,645,98%
3xc4l18urblue,6443.55,645,98%
3xotic26,709.29,71,96%
4017209381,4877.5599999999995,244,99%
402553929,219.78,22,100%
4043RROR,219.78,22,100%
404PlayerNotFound,709.29,71,96%
404ok4561687987879847,25662.88,1712,95%
4131723314123,219.78,22,100%
414291,9.99,1,100%
41781029,39.96,4,100%
4200769711,6443.55,645,98%
4201,1739.1299999999999,87,94%
4202346,709.29,71,96%
420Blz,1739.1299999999999,87,94%
420BlzeIT,6443.55,645,98%
420DankMasterKush420,1739.1299999999999,87,94%
420NigelGaming420,599.6999999999999,30,93%
420believe,1739.1299999999999,87,94%
420blazedondaweedguyz,219.78,22,100%
420blazefag00t,2399.6,40,88%
420blazeitbitches,2.99,1,100%
420blaznnoscope,29.97,3,100%
420box,89.91,9,89%
420cheekycunt,89.91,9,89%
420dankmemer,6443.55,645,98%
420fedora,1739.1299999999999,87,94%
420gandalfyoda,1739.1299999999999,87,94%
420haybale,2258.87,113,99%
420lol420,219.89,11,100%
420slender,6443.55,645,98%
4234213234124,6443.55,645,98%
42654264,90.93,7,100%
42978717,1739.1299999999999,87,94%
4301945,39.92,8,62%
4321louis,6443.55,645,98%
4324434,4877.5599999999995,244,99%
434238948,6443.55,645,98%
434546464,79.96,4,100%
44196,6443.55,645,98%
44290,6443.55,645,98%
4432XABLAU,559.7199999999999,28,100%
4454664,219.78,22,100%
4456829,6443.55,645,98%
44579,644.57,43,93%
44845991789,6443.55,645,98%
44925952,1739.1299999999999,87,94%
45236243663663643636,6443.55,645,98%
45378665,4877.5599999999995,244,99%
4545451111,6443.55,645,98%
4545648,709.29,71,96%
45514551,1739.1299999999999,87,94%
45544554455445,1739.1299999999999,87,94%
45622hd,4.99,1,100%
4563453467436754656677,1739.1299999999999,87,94%
4564231564,1739.1299999999999,87,94%
4567cabi,6443.55,645,98%
45685748567857,6443.55,645,98%
45748930,2258.87,113,99%
45826755958,6443.55,645,98%
458768,6443.55,645,98%
458769873675,2997.0,300,98%
46366536564574576346346546,219.78,22,100%
4687843213132,219.78,22,100%
4735736754,6443.55,645,98%
47444744,24.950000000000003,5,100%
47DollarsInMyBankAccount,1739.1299999999999,87,94%
47enth,89.91,9,89%
4801,6443.55,645,98%
48226746,1739.1299999999999,87,94%
486259317,39.92,8,62%
4Elementals,0.0,25,88%
4KnightArtorias,6443.55,645,98%
4RCH4NG3Ll,6443.55,645,98%
4_5C12U13,89.91,9,89%
4bigs,2997.0,300,98%
4d1t,6443.55,645,98%
4hwei,219.78,22,100%
4i20swagyolo69,709.29,71,96%
4loreseeker,259.74,26,100%
4mrtm,1739.1299999999999,87,94%
4n0m4ly,29.97,3,100%
4n631,6443.55,645,98%
4nti-y0u,9.99,1,100%
4op2U,209.79,21,95%
4p4ch3,99.9,10,100%
4skin5head,709.29,71,96%
4tiles,9.99,1,100%
50899161,6443.55,645,98%
51041,1549.3799999999999,62,94%
51134243,39.92,8,62%
512356,219.78,22,100%
512am,1739.1299999999999,87,94%
513659145,6443.55,645,98%
51564210333,19.98,2,100%
519130312,6443.55,645,98%
519348245,6443.55,645,98%
51centcorn,219.78,22,100%
51jets,6443.55,645,98%
527788235,709.29,71,96%
53071407,6443.55,645,98%
53112195114,6443.55,645,98%
5318064,709.29,71,96%
5343039,219.78,22,100%
535346456636,6443.55,645,98%
53774,1739.1299999999999,87,94%
5400540054005400,6443.55,645,98%
54263144,6443.55,645,98%
54321DrOpThEbAsS,39.6,40,88%
5438910,25662.88,1712,95%
544183980,4877.5599999999995,244,99%
544542132154524145,0.0,54,91%
54494292,2997.0,300,98%
54546545,6443.55,645,98%
54678907652,6443.55,645,98%
5469782134896,149.85,15,100%
548547248072804,4.99,1,100%
54Strat,6443.55,645,98%
54r93,9.99,1,100%
554076033,0.0,120,82%
55432147,1739.1299999999999,87,94%
5554Grovesy,6443.55,645,98%
5564321,429.57,43,98%
558092,709.29,71,96%
564743553uy5367,1739.1299999999999,87,94%
567234,6443.55,645,98%
56748930,6443.55,645,98%
5678LetMeCyaBootyShake,6443.55,645,98%
5692496235797644,1739.1299999999999,87,94%
5739108,1739.1299999999999,87,94%
57841325,6443.55,645,98%
58077979,6443.55,645,98%
58254410,709.29,71,96%
58291756,54.89,11,73%
5856565456564,219.78,22,100%
58981044,1739.1299999999999,87,94%
5901,1739.1299999999999,87,94%
59285912859,1739.1299999999999,87,94%
5975,219.78,22,100%
5LuG,219.78,22,100%
5car3crow,29.97,3,100%
5h0tL3s5,1739.1299999999999,87,94%
5nakebit3,1739.1299999999999,87,94%
5p1ca,6443.55,645,98%
5spooky420me,99.9,10,100%
5yearoldrexrex111,709.29,71,96%
60324133769,219.78,22,100%
6060548,1739.1299999999999,87,94%
60sSpiderman,6443.55,645,98%
61241571,339.66,34,100%
61428,709.29,71,96%
61782,1739.1299999999999,87,94%
618554,1739.1299999999999,87,94%
6294421419,6443.55,645,98%
63246555,6443.55,645,98%
6344143214,6443.55,645,98%
63718432421321321312,1739.1299999999999,87,94%
63Hayden,1739.1299999999999,87,94%
6435677448,6443.55,645,98%
64512328,139.92999999999998,7,100%
64574574574744,6443.55,645,98%
64723864,89.91,9,89%
650326,1739.1299999999999,87,94%
6524696969,219.78,22,100%
653448,4.99,1,100%
6545_Sniffler,1739.1299999999999,87,94%
65464684,6443.55,645,98%
65711642,219.78,22,100%
657475591245,6443.55,645,98%
6592,1739.1299999999999,87,94%
66083299,219.89,11,100%
66113860,4877.5599999999995,244,99%
666101,219.78,22,100%
66666669999999,39.92,8,62%
666NeCrO,709.29,71,96%
666slayerr666,709.29,71,96%
66839427,79.96,4,100%
66d,6443.55,645,98%
66ot,709.29,71,96%
67162763,6443.55,645,98%
6738497298564377854673421,219.78,22,100%
67712702,6443.55,645,98%
678rtv45,4877.5599999999995,244,99%
679gog,6443.55,645,98%
67samjosh,6443.55,645,98%
68496742234,39.92,8,62%
6871,89.91,9,89%
69133709,6443.55,645,98%
69222518,89.91,9,89%
692412341234,6443.55,645,98%
6935,6443.55,645,98%
694201337694201337,219.78,22,100%
696969696969699,6443.55,645,98%
696969697,29.97,3,100%
698959,6443.55,645,98%
69_420_bl41e_fgt,1739.1299999999999,87,94%
69bmw,6443.55,645,98%
69doggystyle,709.29,71,96%
69madman,259.74,26,100%
6C_Troll,6443.55,645,98%
6dighero,219.78,22,100%
6ex6ex6ex,1739.1299999999999,87,94%
6golf6,6443.55,645,98%
6teencarz,1739.1299999999999,87,94%
70293553,219.78,22,100%
71124,709.29,71,96%
711armageddoncarmageddon,1739.1299999999999,87,94%
7122456,644.57,43,93%
71251241,6443.55,645,98%
7225eternally,6443.55,645,98%
72345,824.45,55,73%
72345436754433546,6443.55,645,98%
723943123,1739.1299999999999,87,94%
72947282842,479.76,24,96%
735102120,25662.88,1712,95%
737911,6443.55,645,98%
739567275,1739.1299999999999,87,94%
739749287981,6443.55,645,98%
740449400,4877.5599999999995,244,99%
74345,6443.55,645,98%
743748734,0.0,25,88%
7466NHK,6443.55,645,98%
748237482374284792,1739.1299999999999,87,94%
74987000,6443.55,645,98%
750805,23.92,8,100%
7515953,6443.55,645,98%
75498,24.950000000000003,5,100%
75791513,6443.55,645,98%
75k12,6443.55,645,98%
76415,1739.1299999999999,87,94%
76561193688520497,4.99,1,100%
76561197960271609,219.78,22,100%
76561197960277635,219.78,22,100%
76561197960279587,599.6999999999999,30,93%
76561197960279912,6443.55,645,98%
76561197960281419,219.78,22,100%
76561197960285738,4877.5599999999995,244,99%
76561197960285909,219.78,22,100%
76561197960286077,219.78,22,100%
76561197960286950,219.78,22,100%
76561197960288186,219.78,22,100%
76561197960295773,219.78,22,100%
76561197960298230,219.78,22,100%
76561197960299496,219.78,22,100%
76561197960301970,219.78,22,100%
76561197960324641,219.78,22,100%
76561197960324664,219.78,22,100%
76561197960324928,219.78,22,100%
76561197960333283,219.78,22,100%
76561197960339094,219.78,22,100%
76561197960364170,219.78,22,100%
76561197960366346,219.78,22,100%
76561197960390517,219.78,22,100%
76561197960425229,219.78,22,100%
76561197960426941,219.78,22,100%
76561197960438497,219.78,22,100%
76561197960453899,3868.7099999999996,129,98%
76561197960454309,219.78,22,100%
76561197960459970,219.78,22,100%
76561197960461312,709.29,71,96%
76561197960462807,219.78,22,100%
76561197960467275,219.78,22,100%
76561197960468120,219.78,22,100%
76561197960470293,599.6999999999999,30,93%
76561197960471546,219.78,22,100%
76561197960471761,219.78,22,100%
76561197960478402,4877.5599999999995,244,99%
76561197960478966,24.950000000000003,5,100%
76561197960481739,219.78,22,100%
76561197960499156,219.78,22,100%
76561197960508459,219.78,22,100%
76561197960531365,219.78,22,100%
76561197960541850,219.78,22,100%
76561197960549169,219.78,22,100%
76561197960564189,219.78,22,100%
76561197960565919,219.78,22,100%
76561197960571317,219.78,22,100%
76561197960572371,219.78,22,100%
76561197960575139,219.78,22,100%
76561197960577481,29.98,2,100%
76561197960580457,219.78,22,100%
76561197960589167,219.78,22,100%
76561197960607334,219.78,22,100%
76561197960608571,219.78,22,100%
76561197960611419,219.78,22,100%
76561197960617353,219.78,22,100%
76561197960666461,219.78,22,100%
76561197960693758,219.78,22,100%
